city_id,city,cloudiness,country,date,humidity,lat,lng,maxtemp,windspeed
934479,Grand Gaube,75,MU,1579884388,94,-20.01,57.66,27.22,3.6
934322,Mahebourg,75,MU,1579884287,94,-20.41,57.7,27.22,3.6
3838233,Salta,20,AR,1579884389,51,-24.79,-65.41,28,2.1
2071860,Esperance,90,AU,1579884293,93,-33.87,121.9,17,3.1
3423146,Ilulissat,75,GL,1579884298,62,69.22,-51.1,-7,7.2
3883457,Lebu,0,CL,1579884389,32,-37.62,-73.65,22.23,5.49
933815,Dekar,54,BW,1579884389,62,-21.53,21.93,23.44,5.63
4160021,Jacksonville,20,US,1579884389,64,30.33,-81.66,23.89,4.6
2303611,Esim,2,GH,1579884389,73,4.87,-2.24,28.24,3.72
2021017,Kysyl-Syr,52,RU,1579884389,98,63.9,122.76,-43.06,2.28
1688696,San Policarpo,2,PH,1579884389,87,12.18,125.51,25.97,4.63
4035715,Avarua,83,CK,1579884389,88,-21.21,-159.78,27,4.1
370457,Maridi,81,SS,1579884390,22,4.92,29.47,24.06,1.89
2218840,Bani Walid,40,LY,1579884390,28,31.76,13.99,15.37,4.41
2028164,Deputatsky,3,RU,1579884290,96,69.3,139.9,-38.07,0.82
1516048,Khovd,2,MN,1579884390,77,48.01,91.64,-17.22,0.54
5962442,Goderich,100,CA,1579884172,95,43.75,-81.72,4.44,8.49
2514651,Los Llanos de Aridane,40,ES,1579884282,63,28.66,-17.92,19,2.1
2173125,Burnie,100,AU,1579884390,93,-41.07,145.92,15.56,1.79
6063191,Mackenzie,90,CA,1579884201,98,55.3,-123.17,0,1
3984997,San Quintin,100,MX,1579884390,72,30.48,-115.95,16.76,2.35
2121385,Severo-Kuril'sk,80,RU,1579884304,87,50.68,156.12,-9.83,10.2
3388456,Sao Jose da Coroa Grande,70,BR,1579884391,78,-8.9,-35.15,27.74,6.58
1295765,Sittwe,100,MM,1579884391,45,20.15,92.9,20.48,7.03
5594956,Hailey,90,US,1579884391,100,43.52,-114.32,-1,1.5
2963155,Kinsale,75,IE,1579884391,93,51.71,-8.53,6.67,3.6
4195850,Fort Oglethorpe,90,US,1579884391,100,34.95,-85.26,8.33,2.6
1640660,Gondanglegi,51,ID,1579884391,91,-7.75,112.01,24.15,0.39
1562548,Vinh Yen,75,VN,1579884391,94,21.31,105.6,21,3.1
3461370,Imbituba,75,BR,1579884378,74,-28.24,-48.67,26,6.2
